year,state,electoral_votes,Margin of Victory,Margin of Victory text,Partisan Lean,Partisan Lean text
1996,NC,14,-4.693882,R+4.7,-13.296091,R+13.3
1996,ND,3,-6.810905,R+6.8,-15.413114,R+15.4
1996,OH,21,6.358875,D+6.4,-2.243334,R+2.2
1996,OK,8,-7.807159,R+7.8,-16.409368,R+16.4
1996,OR,7,8.092048,D+8.1,-0.510161,R+0.5
1996,PA,23,9.211769,D+9.2,0.609560,D+0.6
1996,RI,4,32.893783,D+32.9,24.291573,D+24.3
1996,SC,8,-5.841423,R+5.8,-14.443633,R+14.4
1996,SD,3,-3.461736,R+3.5,-12.063945,R+12.1
1996,TN,11,2.408314,D+2.4,-6.193895,R+6.2
1996,TX,32,-4.926970,R+4.9,-13.529179,R+13.5
1996,UT,5,-21.074502,R+21.1,-29.676712,R+29.7
1996,VT,3,22.264354,D+22.3,13.662144,D+13.7
1996,VA,13,-1.956848,R+2.0,-10.559057,R+10.6
1996,WA,11,12.539106,D+12.5,3.936896,D+3.9
1996,WV,5,14.748161,D+14.7,6.145952,D+6.1
1996,WI,11,10.333540,D+10.3,1.731330,D+1.7
1996,WY,3,-12.976259,R+13.0,-21.578468,R+21.6
2000,AL,9,-14.917252,R+14.9,-15.567439,R+15.6
2000,AK,3,-30.954615,R+31.0,-31.604802,R+31.6
2000,AZ,8,-6.286553,R+6.3,-6.936740,R+6.9
2000,AR,6,-5.442941,R+5.4,-6.093128,R+6.1
2000,CA,54,11.798240,D+11.8,11.148053,D+11.1
2000,CO,8,-8.356706,R+8.4,-9.006892,R+9.0
2000,CT,8,17.466025,D+17.5,16.815838,D+16.8
2000,DE,3,13.061439,D+13.1,12.411252,D+12.4
2000,DC,3,76.203354,D+76.2,75.553168,D+75.6
2000,FL,25,-0.009005,R+0.0,-0.659192,R+0.7
2000,GA,13,-11.748570,R+11.7,-12.398757,R+12.4
2000,HI,4,18.328799,D+18.3,17.678613,D+17.7
2000,ID,4,-39.532311,R+39.5,-40.182497,R+40.2
2000,IL,22,12.011641,D+12.0,11.361455,D+11.4
2000,IN,12,-15.634779,R+15.6,-16.284965,R+16.3
2000,IA,7,0.306277,D+0.3,-0.343909,R+0.3
2000,KS,6,-20.803271,R+20.8,-21.453458,R+21.5
2000,KY,8,-15.128301,R+15.1,-15.778487,R+15.8
2000,LA,9,-7.675731,R+7.7,-8.325917,R+8.3
2000,ME,4,5.114165,D+5.1,4.463979,D+4.5
2000,MD,10,16.303528,D+16.3,15.653341,D+15.7
2000,MA,12,26.993223,D+27.0,26.343036,D+26.3
2000,MI,18,5.133584,D+5.1,4.483397,D+4.5
2000,MN,10,2.403221,D+2.4,1.753035,D+1.8
2000,MS,7,-16.921415,R+16.9,-17.571602,R+17.6
2000,MO,11,-3.338543,R+3.3,-3.988729,R+4.0
2000,MT,3,-25.074333,R+25.1,-25.724520,R+25.7
2000,NE,5,-28.992323,R+29.0,-29.642510,R+29.6
2000,NV,4,-3.543826,R+3.5,-4.194013,R+4.2
2000,NH,4,-1.267131,R+1.3,-1.917317,R+1.9
2000,NJ,15,15.834365,D+15.8,15.184178,D+15.2
2000,NM,5,0.061142,D+0.1,-0.589045,R+0.6
2000,NY,33,24.189454,D+24.2,23.539267,D+23.5
2000,NC,14,-12.812085,R+12.8,-13.462272,R+13.5
2000,ND,3,-27.603242,R+27.6,-28.253428,R+28.3
2000,OH,21,-3.546046,R+3.5,-4.196232,R+4.2
2000,OK,8,-21.880948,R+21.9,-22.531134,R+22.5
2000,OR,7,0.441018,D+0.4,-0.209168,R+0.2
2000,PA,23,4.170038,D+4.2,3.519852,D+3.5
2000,RI,4,29.075901,D+29.1,28.425714,D+28.4
2000,SC,8,-15.958861,R+16.0,-16.609048,R+16.6
2000,SD,3,-22.732547,R+22.7,-23.382734,R+23.4
2000,TN,11,-3.864258,R+3.9,-4.514445,R+4.5
2000,TX,32,-21.316641,R+21.3,-21.966828,R+22.0
2000,UT,5,-40.485421,R+40.5,-41.135607,R+41.1
2000,VT,3,9.937548,D+9.9,9.287362,D+9.3
2000,VA,13,-8.038119,R+8.0,-8.688305,R+8.7
2000,WA,11,5.579567,D+5.6,4.929381,D+4.9
2000,WV,5,-6.322556,R+6.3,-6.972742,R+7.0
2000,WI,11,0.219656,D+0.2,-0.430531,R+0.4
2000,WY,3,-40.924361,R+40.9,-41.574548,R+41.6
2004,AL,9,-25.616287,R+25.6,-23.209226,R+23.2
2004,AK,3,-25.548468,R+25.5,-23.141406,R+23.1
2004,AZ,10,-10.472601,R+10.5,-8.065539,R+8.1
2004,AR,6,-9.758329,R+9.8,-7.351267,R+7.4
2004,CA,55,9.947862,D+9.9,12.354923,D+12.4
2004,CO,9,-4.673253,R+4.7,-2.266191,R+2.3
2004,CT,7,10.366431,D+10.4,12.773493,D+12.8
2004,DE,3,7.594019,D+7.6,10.001081,D+10.0
2004,DC,3,79.844103,D+79.8,82.251165,D+82.3
2004,FL,27,-5.006406,R+5.0,-2.599344,R+2.6
2004,GA,15,-16.599811,R+16.6,-14.192749,R+14.2
2004,HI,4,8.744956,D+8.7,11.152018,D+11.2
2004,ID,4,-38.126028,R+38.1,-35.718966,R+35.7
2004,IL,21,10.344533,D+10.3,12.751595,D+12.8
2004,IN,11,-20.681790,R+20.7,-18.274728,R+18.3
2004,IA,7,-0.667526,R+0.7,1.739536,D+1.7
2004,KS,6,-25.380886,R+25.4,-22.973824,R+23.0
2004,KY,8,-19.862441,R+19.9,-17.455379,R+17.5
2004,LA,9,-14.506157,R+14.5,-12.099095,R+12.1
2004,ME,4,8.996398,D+9.0,11.403460,D+11.4
2004,MD,10,12.993250,D+13.0,15.400312,D+15.4
2004,MA,12,25.028258,D+25.0,27.435320,D+27.4
2004,MI,17,3.418648,D+3.4,5.825710,D+5.8
2004,MN,10,3.476151,D+3.5,5.883213,D+5.9
2004,MS,6,-18.853262,R+18.9,-16.446200,R+16.4
2004,MO,11,-7.195745,R+7.2,-4.788684,R+4.8
2004,MT,3,-20.503115,R+20.5,-18.096053,R+18.1
2004,NE,5,-33.216480,R+33.2,-30.809418,R+30.8
2004,NV,5,-2.591651,R+2.6,-0.184589,R+0.2
2004,NH,4,1.367268,D+1.4,3.774330,D+3.8
2004,NJ,15,6.684597,D+6.7,9.091659,D+9.1
2004,NM,5,-0.791745,R+0.8,1.615317,D+1.6
2004,NY,31,18.444051,D+18.4,20.851113,D+20.9
2004,NC,15,-12.434051,R+12.4,-10.026989,R+10.0
2004,ND,3,-27.362522,R+27.4,-24.955461,R+25.0
2004,OH,20,-2.107339,R+2.1,0.299723,D+0.3
2004,OK,7,-31.140803,R+31.1,-28.733741,R+28.7
2004,OR,7,4.155746,D+4.2,6.562808,D+6.6
2004,PA,21,2.500143,D+2.5,4.907205,D+4.9
2004,RI,4,20.751989,D+20.8,23.159051,D+23.2
2004,SC,8,-17.080114,R+17.1,-14.673052,R+14.7
2004,SD,3,-21.467486,R+21.5,-19.060424,R+19.1
2004,TN,11,-14.273798,R+14.3,-11.866736,R+11.9
2004,TX,34,-22.861562,R+22.9,-20.454500,R+20.5
2004,UT,5,-45.540306,R+45.5,-43.133244,R+43.1
2004,VT,3,20.136147,D+20.1,22.543209,D+22.5
2004,VA,13,-8.206039,R+8.2,-5.798977,R+5.8
2004,WA,11,7.180866,D+7.2,9.587928,D+9.6
2004,WV,5,-12.865577,R+12.9,-10.458515,R+10.5
2004,WI,10,0.379846,D+0.4,2.786908,D+2.8
2004,WY,3,-39.716478,R+39.7,-37.309416,R+37.3
2008,AL,9,-21.576479,R+21.6,-28.976468,R+29.0
2008,AK,3,-21.535146,R+21.5,-28.935135,R+28.9
2008,AZ,10,-8.519997,R+8.5,-15.919987,R+15.9
2008,AR,6,-19.851245,R+19.9,-27.251234,R+27.3
2008,CA,55,24.057780,D+24.1,16.657790,D+16.7
2008,CO,9,8.952715,D+9.0,1.552725,D+1.6
2008,CT,7,22.367366,D+22.4,14.967377,D+15.0
2008,DE,3,24.995635,D+25.0,17.595646,D+17.6
2008,DC,3,85.924552,D+85.9,78.524563,D+78.5
2008,FL,27,2.817986,D+2.8,-4.582003,R+4.6
2008,GA,15,-5.214339,R+5.2,-12.614328,R+12.6
2008,HI,4,45.016708,D+45.0,37.616719,D+37.6
2008,ID,4,-25.426104,R+25.4,-32.826093,R+32.8
2008,IL,21,25.137192,D+25.1,17.737202,D+17.7
2008,IN,11,1.032004,D+1.0,-6.367985,R+6.4
2008,IA,7,9.534761,D+9.5,2.134771,D+2.1
2008,KS,6,-14.960287,R+15.0,-22.360277,R+22.4
2008,KY,8,-16.230907,R+16.2,-23.630897,R+23.6
2008,LA,9,-18.629808,R+18.6,-26.029797,R+26.0
2008,ME,4,17.321719,D+17.3,9.921729,D+9.9
2008,MD,10,25.444825,D+25.4,18.044836,D+18.0
2008,MA,12,25.628240,D+25.6,18.228250,D+18.2
2008,MI,17,16.473542,D+16.5,9.073552,D+9.1
2008,MN,10,10.237362,D+10.2,2.837372,D+2.8
2008,MS,6,-13.174635,R+13.2,-20.574624,R+20.6
2008,MO,11,-0.133427,R+0.1,-7.533416,R+7.5
2008,MT,3,-2.263986,R+2.3,-9.663976,R+9.7
2008,NE,5,-14.933588,R+14.9,-22.333577,R+22.3
2008,NV,5,12.492561,D+12.5,5.092571,D+5.1
2008,NH,4,9.605469,D+9.6,2.205479,D+2.2
2008,NJ,15,15.568203,D+15.6,8.168214,D+8.2
2008,NM,5,15.128445,D+15.1,7.728456,D+7.7
2008,NY,31,28.839724,D+28.8,21.439735,D+21.4
2008,NC,15,0.328868,D+0.3,-7.071122,R+7.1
